MEM0001,First Name 1,Last Name 1,1 Address,customer1@email.com,1/1/22,31,1
MEM0002,First Name 2,Last Name 2,2 Address,customer2@email.com,1/2/22,6,2
MEM0003,First Name 3,Last Name 3,3 Address,customer3@email.com,1/3/22,3,3
MEM0004,First Name 4,Last Name 4,4 Address,customer4@email.com,1/4/22,35,4
MEM0005,First Name 5,Last Name 5,5 Address,customer5@email.com,1/5/22,15,5
MEM0006,First Name 6,Last Name 6,6 Address,customer6@email.com,1/6/22,18,6
MEM0007,First Name 7,Last Name 7,7 Address,customer7@email.com,1/7/22,29,7
MEM0008,First Name 8,Last Name 8,8 Address,customer8@email.com,1/8/22,22,8
MEM0009,First Name 9,Last Name 9,9 Address,customer9@email.com,1/9/22,5,9
MEM0010,First Name 10,Last Name 10,10 Address,customer10@email.com,1/10/22,12,10
MEM0011,First Name 11,Last Name 11,11 Address,customer11@email.com,1/11/22,20,11
MEM0012,First Name 12,Last Name 12,12 Address,customer12@email.com,1/12/22,32,12
MEM0013,First Name 13,Last Name 13,13 Address,customer13@email.com,1/13/22,41,13
MEM0014,First Name 14,Last Name 14,14 Address,customer14@email.com,1/14/22,23,14
MEM0015,First Name 15,Last Name 15,15 Address,customer15@email.com,1/15/22,39,15
MEM0016,First Name 16,Last Name 16,16 Address,customer16@email.com,1/16/22,23,16
MEM0017,First Name 17,Last Name 17,17 Address,customer17@email.com,1/17/22,40,17
MEM0018,First Name 18,Last Name 18,18 Address,customer18@email.com,1/18/22,0,18
MEM0019,First Name 19,Last Name 19,19 Address,customer19@email.com,1/19/22,32,19
MEM0020,First Name 20,Last Name 20,20 Address,customer20@email.com,1/20/22,7,20
